province,key,pr,default,zh-Hans
Basel,Basel,0,Basel,巴塞尔
Bern,Bern,0,Bern,伯恩
Geneva,Geneva,0,Geneva,日内瓦
Zurich,Zurich,0,Zurich,苏黎世
